Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Norway,NOR,7492.07666,2.1,82.40731707,3.70957E+11,23.05,Europe & Central Asia,,,,
2016,YR2016,Oman,OMN,714.4886475,9,79.581,75128738622,28.3,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Pakistan,PAK,36.46934128,62.2,65.943,3.1363E+11,8.65,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Palau,PLW,1704.623169,18.8,69.046,298323500,55.3,East Asia & Pacific,,,,
2016,YR2016,Panama,PAN,1056.684814,13.5,77.772,59760858700,22.7,Latin America & Caribbean,,,,
2016,YR2016,Papua New Guinea,PNG,53.98646545,39.3,64.7,20758876953,21.2,East Asia & Pacific,,,,
2016,YR2016,Paraguay,PRY,385.5229797,18.9,73.487,36089700223,20.25,Latin America & Caribbean,,,,
2016,YR2016,Peru,PER,311.3351746,14.5,75.951,1.91898E+11,19.7,Latin America & Caribbean,,,,
2016,YR2016,Philippines,PHL,118.0598145,22.3,69.49,3.18627E+11,6.35,East Asia & Pacific,,,,
2016,YR2016,Poland,POL,816.0861816,4.1,77.85121951,4.7326E+11,22.95,Europe & Central Asia,,,,
2016,YR2016,Portugal,PRT,1875.242188,2.9,81.12439024,2.06305E+11,20.75,Europe & Central Asia,,,,
2016,YR2016,Puerto Rico (US),PRI,..,..,80.355,1.04337E+11,..,Latin America & Caribbean,,,,
2016,YR2016,Qatar,QAT,2072.061035,6.2,82.147,1.51732E+11,37.8,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Romania,ROU,476.2450562,7.1,75.2097561,1.85291E+11,22.5,Europe & Central Asia,,,,
2016,YR2016,Russian Federation,RUS,463.2927551,6.1,71.65121951,1.27679E+12,22.5,Europe & Central Asia,,,,
2016,YR2016,Rwanda,RWA,50.77831268,33.1,65.733,8695272061,5.6,Sub-Saharan Africa,,,,
2016,YR2016,Samoa,WSM,238.3466187,14.7,71.003,843924796.7,47.45,East Asia & Pacific,,,,
2016,YR2016,San Marino,SMR,3621.232666,1.8,84.775,1468343140,..,Europe & Central Asia,,,,
